,ID,age_values,gender_values,education_values,country_values,ethnicity_values,nscore_values,escore_values,oscore_values,ascore_values,cscore_values,impulsive_values,sensation_values,Alcohol_values,Amphet_values,Amyl_values,Benzos_values,Cannabis_values,Choc_values,Coke_values,Caff_values,Crack_values,Ecstasy_values,Heroin_values,Ketamine_values,Legalh_values,LSD_values,Meth_values,Mushrooms_values,Nicotine_values,Semer_values,VSA_values
0,1446,45 - 54,Female,Masters Degree,UK,White,40.0,44.0,48.0,65.44020425253876,49.0,257.0,337.58783687316,Used in Last Week,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
1,1095,18 - 24,Male,University Degree,Australia,White,40.0,44.0,48.0,23.2264624141279,32.0,257.0,35.523274237951114,Used in Last Year,Used in Last Month,Used in Last Day,Never Used,Used in Last Year,Used in Last Month,Used in Last Month,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Month,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month
2,1346,18 - 24,Male,Left School at 18 years,Other,White,44.0,47.0,56.0,23.2264624141279,49.0,257.0,123.26163711897556,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Week,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
3,798,18 - 24,Female,University Degree,UK,White,30.0,45.0,49.0,65.44020425253876,50.0,257.0,123.26163711897556,Used in Last Week,Used in Last Year,Used in Last Decade,Never Used,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Decade
4,185,55 - 64,Male,Left School at 18 years,UK,White,36.0,34.0,48.0,47.0,44.0,257.0,337.58783687316,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
5,1428,18 - 24,Female,Professional Certificate/Diploma,UK,Other,36.0,44.0,48.0,23.2264624141279,53.0,195.0,35.523274237951114,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day
6,689,35 - 44,Male,"Some College, No Certificate Or Degree",USA,White,40.0,44.0,44.0,23.2264624141279,49.0,257.0,123.26163711897556,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
7,887,25 - 34,Male,"Some College, No Certificate Or Degree",Other,White,40.0,19.0,47.0,23.2264624141279,41.0,257.0,337.58783687316,Used in Last Month,Used in Last Decade,Never Used,Used in Last Week,Used in Last Week,Used in Last Week,Never Used,Used in Last Day,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Week,Used in Last Decade,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used
8,1325,18 - 24,Female,"Some College, No Certificate Or Degree",USA,White,40.0,44.0,48.0,65.44020425253876,49.0,257.0,337.58783687316,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Week,Used in Last Month,Used in Last Day,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Month,Used in Last Week,Never Used,Never Used
9,1335,25 - 34,Male,"Some College, No Certificate Or Degree",Other,White,40.0,44.0,51.0,23.2264624141279,42.0,148.0,211.0,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
10,1256,45 - 54,Female,University Degree,UK,White,40.0,35.0,48.0,23.2264624141279,49.0,276.0,35.523274237951114,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
11,444,35 - 44,Male,Left School at 16 years,UK,White,40.0,44.0,48.0,23.2264624141279,49.0,257.0,35.523274237951114,Used in Last Week,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
12,944,18 - 24,Female,"Some College, No Certificate Or Degree",USA,Mixed-White/Asian,51.0,44.0,48.0,46.0,49.0,195.0,35.523274237951114,Used in Last Year,Used in Last Year,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Used in Last Decade,Used in Last Month,Never Used,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Never Used,Never Used,Never Used
13,235,25 - 34,Female,University Degree,UK,White,40.0,44.0,46.0,23.2264624141279,52.0,257.0,249.0,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
14,1269,35 - 44,Female,University Degree,UK,White,40.0,44.0,48.0,23.2264624141279,49.0,257.0,35.523274237951114,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Decade,Used in Last Week,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
15,1238,18 - 24,Male,University Degree,USA,White,36.0,44.0,52.0,23.2264624141279,49.0,257.0,123.26163711897556,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Day,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used
16,1881,18 - 24,Male,Left School at 17 years,USA,White,50.0,26.0,42.0,23.2264624141279,49.0,355.0,123.26163711897556,Used in Last Day,Used in Last Decade,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Used in Last Decade
17,684,35 - 44,Female,University Degree,UK,White,40.0,39.0,43.0,42.0,37.0,257.0,123.26163711897556,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Year,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Used over a Decade Ago,Never Used,Never Used
18,1539,18 - 24,Female,"Some College, No Certificate Or Degree",USA,Other,40.0,51.0,48.0,65.44020425253876,49.0,195.0,337.58783687316,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
